,position,beta,z,gross_return,cost_drag,net_return,equity,turnover
2019-07-31,0.0,1.151730583482607,0.5861115998560646,0.0,0.0,0.0,977115.581494845,0.0
2019-08-01,0.0,1.1525412545731508,1.2641354533766596,0.0,0.0,0.0,977115.581494845,0.0
2019-08-02,0.0,1.153666873751288,-0.2706708553747754,0.0,0.0,0.0,977115.581494845,0.0
2019-08-05,0.0,1.1534730346975317,1.4267195903793903,0.0,0.0,0.0,977115.581494845,0.0
2019-08-06,0.0,1.1539220453882588,-1.379065387814248,0.0,0.0,0.0,977115.581494845,0.0
2019-08-07,0.0,1.1524682014876935,-1.4283103510927375,-0.0,0.0,-0.0,977115.581494845,0.0
2019-08-08,0.0,1.1498485055830978,-1.1544804788895022,-0.0,0.0,-0.0,977115.581494845,0.0
2019-08-09,0.0,1.1480074666941436,0.054137861316803156,0.0,0.0,0.0,977115.581494845,0.0
2019-08-12,0.0,1.1480712610463384,1.2602839603470464,0.0,0.0,0.0,977115.581494845,0.0
2019-08-13,0.0,1.148909837783696,-0.608610352403629,-0.0,0.0,-0.0,977115.581494845,0.0
2019-08-14,0.0,1.1482775811408366,-0.5857329798952217,0.0,0.0,0.0,977115.581494845,0.0
2019-08-15,0.0,1.1473686407869017,-0.24079652256897233,0.0,0.0,0.0,977115.581494845,0.0
2019-08-16,0.0,1.1470796944775852,0.7317881290870825,0.0,0.0,0.0,977115.581494845,0.0
2019-08-19,0.0,1.1478016731100205,-0.4186541571135618,0.0,0.0,0.0,977115.581494845,0.0
2019-08-20,0.0,1.1475252727544334,-0.6254958380763874,0.0,0.0,0.0,977115.581494845,0.0
2019-08-21,0.0,1.1467249168987976,-1.2278792141243822,0.0,0.0,0.0,977115.581494845,0.0
2019-08-22,0.0,1.1471686023252838,-0.5901683647633706,-0.0,0.0,-0.0,977115.581494845,0.0
2019-08-23,0.0,1.1465027586510699,1.2462195708450328,0.0,0.0,0.0,977115.581494845,0.0
2019-08-26,0.0,1.1491016762678103,0.34674871792961687,0.0,0.0,0.0,977115.581494845,0.0
2019-08-27,0.0,1.149218870213948,-0.6837247783554343,0.0,0.0,0.0,977115.581494845,0.0
2019-08-28,0.0,1.1486801700325846,1.4285853995271516,0.0,0.0,0.0,977115.581494845,0.0
2019-08-29,0.0,1.1500076066713891,-0.5128520516029961,0.0,0.0,0.0,977115.581494845,0.0
2019-08-30,0.0,1.1495999020015784,1.4630741915301904,0.0,0.0,0.0,977115.581494845,0.0
2019-09-02,0.0,1.151869743131479,1.4610836848214723,0.0,0.0,0.0,977115.581494845,0.0
2019-09-03,0.0,1.153696407371291,0.05101708318495222,0.0,0.0,0.0,977115.581494845,0.0
2019-09-04,0.0,1.153756362129031,-1.6714652874198597,-0.0,0.0,-0.0,977115.581494845,0.0
2019-09-05,0.0,1.1514247507094326,2.230568340468232,0.0,0.0,0.0,977115.581494845,0.0
2019-09-06,-1.0,1.1541263699663928,0.11401279431122353,-0.0001689037889554025,0.0007,-0.0008689037889554025,976266.5620638367,1.0
2019-09-09,0.0,1.1544206599305533,-0.3661733566852595,0.0,0.0007,-0.0007,975583.1754703921,1.0
2019-09-10,0.0,1.1540079597574848,0.8846504837348005,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-11,0.0,1.1550720031479946,0.8295681102951435,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-12,0.0,1.155269086372315,1.2507915569747134,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-13,0.0,1.1564086259024202,-0.8047140417740795,-0.0,0.0,-0.0,975583.1754703921,0.0
2019-09-16,0.0,1.155123285015376,0.3017348119064897,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-17,0.0,1.1553111603875954,-1.008818943116522,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-18,0.0,1.1552053726735925,0.5509384409718571,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-19,0.0,1.1558780077688362,-0.20024310413361235,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-20,0.0,1.1555509989957657,0.20854924255990373,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-23,0.0,1.1557723794147534,-0.20435008878881167,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-24,0.0,1.1555713009047195,-0.1882158153925306,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-25,0.0,1.1555026664588723,-1.0333121245976578,-0.0,0.0,-0.0,975583.1754703921,0.0
2019-09-26,0.0,1.1540297384527805,0.6903455737556474,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-27,0.0,1.1549843383574918,1.5933845702617517,0.0,0.0,0.0,975583.1754703921,0.0
2019-09-30,0.0,1.1557320297882645,-0.7614032032432069,0.0,0.0,0.0,975583.1754703921,0.0
2019-10-01,0.0,1.1545708772188756,0.3731327408965989,0.0,0.0,0.0,975583.1754703921,0.0
2019-10-02,0.0,1.1551318981630485,0.2820270650471023,0.0,0.0,0.0,975583.1754703921,0.0
2019-10-03,0.0,1.1555105592812436,-0.21846103284737814,0.0,0.0,0.0,975583.1754703921,0.0
